2, 9984, Note_on_c, 0, 75, 110
2, 9984, Note_on_c, 0, 68, 110
2, 10364, Note_off_c, 0, 75, 100
2, 10364, Note_off_c, 0, 68, 100
2, 10368, Note_on_c, 0, 75, 110
2, 10368, Note_on_c, 0, 70, 110
2, 10748, Note_off_c, 0, 75, 100
2, 10748, Note_off_c, 0, 70, 100
2, 10752, Note_on_c, 0, 73, 110
2, 10752, Note_on_c, 0, 75, 110
2, 11132, Note_off_c, 0, 73, 100
2, 11136, Note_on_c, 0, 72, 110
2, 11516, Note_off_c, 0, 75, 100
2, 11516, Note_off_c, 0, 72, 100
2, 11520, Note_on_c, 0, 77, 80
2, 11900, Note_off_c, 0, 77, 100
2, 11904, Note_on_c, 0, 68, 80
2, 12668, Note_off_c, 0, 68, 100
2, 12672, Note_on_c, 0, 67, 80
2, 12672, Note_on_c, 0, 72, 80
2, 12820, Note_off_c, 0, 72, 100
2, 12824, Note_on_c, 0, 70, 80
2, 13052, Note_off_c, 0, 67, 100
2, 13056, Note_on_c, 0, 68, 80
2, 13060, Note_off_c, 0, 70, 100
2, 13436, Note_off_c, 0, 68, 100
2, 13824, Note_on_c, 0, 79, 110
2, 14012, Note_off_c, 0, 79, 100
2, 14016, Note_on_c, 0, 77, 110
2, 14204, Note_off_c, 0, 77, 100
2, 14208, Note_on_c, 0, 68, 100
2, 14972, Note_off_c, 0, 68, 100
2, 14976, Note_on_c, 0, 67, 100
2, 14976, Note_on_c, 0, 72, 100
2, 15124, Note_off_c, 0, 72, 100
2, 15128, Note_on_c, 0, 70, 100
2, 15356, Note_off_c, 0, 67, 100
2, 15356, Note_off_c, 0, 70, 100
2, 15360, Note_on_c, 0, 68, 100
2, 15740, Note_off_c, 0, 68, 100
2, 16128, Note_on_c, 0, 68, 80
2, 16128, Note_on_c, 0, 60, 80
2, 16508, Note_off_c, 0, 68, 100
2, 16508, Note_off_c, 0, 60, 100
2, 16512, Note_on_c, 0, 70, 80
2, 16512, Note_on_c, 0, 61, 80
2, 16892, Note_off_c, 0, 70, 100
2, 16892, Note_off_c, 0, 61, 100
2, 16896, Note_on_c, 0, 67, 80
2, 16896, Note_on_c, 0, 58, 80
2, 17276, Note_off_c, 0, 67, 100
2, 17276, Note_off_c, 0, 58, 100
2, 17664, Note_on_c, 0, 68, 80
2, 17664, Note_on_c, 0, 60, 80
2, 18044, Note_off_c, 0, 68, 100
2, 18044, Note_off_c, 0, 60, 100
2, 18048, Note_on_c, 0, 65, 80
2, 18048, Note_on_c, 0, 56, 80
2, 18428, Note_off_c, 0, 65, 100
2, 18428, Note_off_c, 0, 56, 100
2, 18432, Note_on_c, 0, 65, 80
2, 18432, Note_on_c, 0, 60, 80
2, 18812, Note_off_c, 0, 65, 100
2, 18812, Note_off_c, 0, 60, 100
2, 18816, Note_on_c, 0, 64, 80
2, 18816, Note_on_c, 0, 60, 80
2, 19196, Note_off_c, 0, 64, 100
2, 19196, Note_off_c, 0, 60, 100
2, 19200, Note_on_c, 0, 65, 80
2, 19200, Note_on_c, 0, 60, 80
2, 19580, Note_off_c, 0, 65, 100
2, 19580, Note_off_c, 0, 60, 100
2, 19584, Note_on_c, 0, 67, 80
2, 19584, Note_on_c, 0, 60, 80
2, 19964, Note_off_c, 0, 67, 100
2, 19964, Note_off_c, 0, 60, 100
2, 19968, Note_on_c, 0, 60, 80
2, 19968, Note_on_c, 0, 70, 80
2, 20348, Note_off_c, 0, 70, 100
2, 20352, Note_on_c, 0, 68, 80
2, 20732, Note_off_c, 0, 60, 100
2, 20732, Note_off_c, 0, 68, 100
2, 20736, Note_on_c, 0, 72, 80
2, 20736, Note_on_c, 0, 63, 80
2, 21116, Note_off_c, 0, 72, 100
2, 21116, Note_off_c, 0, 63, 100
2, 21120, Note_on_c, 0, 73, 80
2, 21120, Note_on_c, 0, 65, 80
2, 21500, Note_off_c, 0, 73, 100
2, 21500, Note_off_c, 0, 65, 100
2, 21504, Note_on_c, 0, 70, 80
2, 21504, Note_on_c, 0, 61, 80
2, 21884, Note_off_c, 0, 70, 100
2, 21884, Note_off_c, 0, 61, 100
2, 22272, Note_on_c, 0, 72, 80
2, 22272, Note_on_c, 0, 63, 80
2, 22652, Note_off_c, 0, 72, 100
2, 22652, Note_off_c, 0, 63, 100
2, 22656, Note_on_c, 0, 68, 80
2, 22656, Note_on_c, 0, 60, 80
