2, 3264, Note_on_c, 0, 75, 80
2, 3264, Note_on_c, 0, 78, 80
2, 3356, Note_off_c, 0, 87, 100
2, 3360, Note_on_c, 0, 84, 80
2, 3452, Note_off_c, 0, 75, 100
2, 3452, Note_off_c, 0, 78, 100
2, 3452, Note_off_c, 0, 84, 100
2, 3456, Note_on_c, 0, 83, 80
2, 3456, Note_on_c, 0, 79, 80
2, 3456, Note_on_c, 0, 74, 80
2, 3644, Note_off_c, 0, 83, 100
2, 3644, Note_off_c, 0, 79, 100
2, 3644, Note_off_c, 0, 74, 100
2, 3648, Note_on_c, 0, 82, 80
2, 3648, Note_on_c, 0, 79, 80
2, 3648, Note_on_c, 0, 74, 80
2, 3836, Note_off_c, 0, 82, 100
2, 3836, Note_off_c, 0, 79, 100
2, 3836, Note_off_c, 0, 74, 100
2, 3840, Note_on_c, 0, 82, 100
2, 3840, Note_on_c, 0, 74, 90
2, 4028, Note_off_c, 0, 74, 100
2, 4032, Note_on_c, 0, 75, 80
2, 4220, Note_off_c, 0, 75, 100
2, 4224, Note_on_c, 0, 77, 80
2, 4284, Note_off_c, 0, 82, 100
2, 4288, Note_on_c, 0, 70, 80
2, 4316, Note_off_c, 0, 77, 100
2, 4348, Note_off_c, 0, 70, 100
2, 4352, Note_on_c, 0, 72, 80
2, 4412, Note_off_c, 0, 72, 100
2, 4416, Note_on_c, 0, 69, 80
2, 4476, Note_off_c, 0, 69, 100
2, 4480, Note_on_c, 0, 70, 80
2, 4540, Note_off_c, 0, 70, 100
2, 4544, Note_on_c, 0, 68, 80
2, 4604, Note_off_c, 0, 68, 100
2, 4608, Note_on_c, 0, 67, 80
2, 4608, Note_on_c, 0, 64, 80
2, 4608, Note_on_c, 0, 61, 80
2, 4608, Note_on_c, 0, 58, 80
2, 4988, Note_off_c, 0, 67, 100
2, 4988, Note_off_c, 0, 64, 100
2, 4988, Note_off_c, 0, 61, 100
2, 4988, Note_off_c, 0, 58, 100
2, 4992, Note_on_c, 0, 65, 80
2, 4992, Note_on_c, 0, 62, 80
2, 4992, Note_on_c, 0, 56, 80
2, 5372, Note_off_c, 0, 65, 100
2, 5372, Note_off_c, 0, 62, 100
2, 5372, Note_off_c, 0, 56, 100
2, 5376, Note_on_c, 0, 63, 80
2, 5376, Note_on_c, 0, 54, 80
2, 5948, Note_off_c, 0, 63, 100
2, 5948, Note_off_c, 0, 54, 100
2, 5952, Note_on_c, 0, 63, 80
2, 5952, Note_on_c, 0, 66, 80
2, 6092, Note_off_c, 0, 66, 100
2, 6096, Note_on_c, 0, 71, 80
2, 6140, Note_off_c, 0, 63, 100
2, 6140, Note_off_c, 0, 71, 100
2, 6144, Note_on_c, 0, 71, 80
2, 6144, Note_on_c, 0, 64, 80
2, 6332, Note_off_c, 0, 71, 100
2, 6332, Note_off_c, 0, 64, 100
2, 6336, Note_on_c, 0, 64, 80
2, 6336, Note_on_c, 0, 70, 80
2, 6476, Note_off_c, 0, 70, 100
2, 6480, Note_on_c, 0, 76, 80
2, 6524, Note_off_c, 0, 64, 100
2, 6524, Note_off_c, 0, 76, 100
2, 6528, Note_on_c, 0, 63, 80
2, 6528, Note_on_c, 0, 75, 80
2, 6716, Note_off_c, 0, 63, 100
2, 6716, Note_off_c, 0, 75, 100
2, 6720, Note_on_c, 0, 75, 80
2, 6764, Note_off_c, 0, 75, 100
2, 6768, Note_on_c, 0, 77, 80
2, 6780, Note_off_c, 0, 77, 100
2, 6784, Note_on_c, 0, 75, 80
2, 6796, Note_off_c, 0, 75, 100
2, 6800, Note_on_c, 0, 74, 80
2, 6812, Note_off_c, 0, 74, 100
2, 6816, Note_on_c, 0, 75, 80
2, 6860, Note_off_c, 0, 75, 100
2, 6864, Note_on_c, 0, 77, 80
2, 6908, Note_off_c, 0, 77, 100
2, 6912, Note_on_c, 0, 78, 80
2, 6912, Note_on_c, 0, 72, 80
2, 7100, Note_off_c, 0, 72, 100
2, 7104, Note_on_c, 0, 72, 80
2, 7196, Note_off_c, 0, 78, 100
2, 7200, Note_on_c, 0, 75, 80
2, 7292, Note_off_c, 0, 72, 100
2, 7292, Note_off_c, 0, 75, 100
2, 7296, Note_on_c, 0, 70, 80
2, 7296, Note_on_c, 0, 74, 80
2, 7484, Note_off_c, 0, 70, 100
2, 7484, Note_off_c, 0, 74, 100
2, 7488, Note_on_c, 0, 70, 80
2, 7488, Note_on_c, 0, 73, 80
2, 7532, Note_off_c, 0, 73, 100
2, 7536, Note_on_c, 0, 75, 80
2, 7548, Note_off_c, 0, 75, 100
2, 7552, Note_on_c, 0, 73, 80
2, 7564, Note_off_c, 0, 73, 100
2, 7568, Note_on_c, 0, 72, 80
2, 7580, Note_off_c, 0, 72, 100
2, 7584, Note_on_c, 0, 73, 80
2, 7628, Note_off_c, 0, 73, 100
2, 7632, Note_on_c, 0, 75, 80
2, 7676, Note_off_c, 0, 75, 100
2, 7680, Note_on_c, 0, 76, 80
2, 7868, Note_off_c, 0, 70, 100
2, 7872, Note_on_c, 0, 70, 80
2, 7964, Note_off_c, 0, 76, 100
2, 7968, Note_on_c, 0, 75, 80
2, 8012, Note_off_c, 0, 75, 100
2, 8016, Note_on_c, 0, 73, 80
2, 8060, Note_off_c, 0, 70, 100
2, 8060, Note_off_c, 0, 73, 100
2, 8064, Note_on_c, 0, 68, 80
2, 8064, Note_on_c, 0, 71, 80
2, 8252, Note_off_c, 0, 68, 100
2, 8252, Note_off_c, 0, 71, 100
2, 8256, Note_on_c, 0, 75, 80
2, 8256, Note_on_c, 0, 70, 80
2, 8256, Note_on_c, 0, 63, 80
2, 8444, Note_off_c, 0, 75, 100
2, 8444, Note_off_c, 0, 70, 100
2, 8444, Note_off_c, 0, 63, 100
2, 8448, Note_on_c, 0, 74, 80
2, 8448, Note_on_c, 0, 70, 80
2, 8448, Note_on_c, 0, 68, 80
2, 8448, Note_on_c, 0, 62, 80
2, 8636, Note_off_c, 0, 74, 100
2, 8636, Note_off_c, 0, 70, 100
2, 8636, Note_off_c, 0, 68, 100
2, 8636, Note_off_c, 0, 62, 100
2, 8928, Note_on_c, 0, 74, 80
2, 8928, Note_on_c, 0, 70, 80
2, 8928, Note_on_c, 0, 68, 80
2, 8928, Note_on_c, 0, 62, 80
2, 9020, Note_off_c, 0, 74, 100
2, 9020, Note_off_c, 0, 70, 100
